30712,42884;;Worst;Best;AVG;STD
29447,76057;;;;;
29569,34223;;;;;
32088,54716;;;;;
30298,25331;;;;;
29943,85031;;;;;
31397,25048;;;;;
28588,70329;;;;;
28742,56344;;;;;
29270,29562;;;;;
29288,70262;;;;;
29496,47902;;;;;
27407,36964;;;;;
28110,77329;;;;;
26531,05711;;;;;
29978,74154;;;;;
28714,30854;;;;;
30832,72519;;;;;
32080,01625;;;;;
32176,18744;;;;;
30222,40756;;;;;
28533,49338;;;;;
30216,45906;;;;;
29163,40035;;;;;
29672,63968;;;;;
27621,04808;;;;;
30076,24072;;;;;
29527,57956;;;;;
28549,03143;;;;;
28718,36195;;;;;
28482,37124;;;;;
30645,21875;;;;;
30380,95773;;;;;
29625,60119;;;;;
31309,98401;;;;;
28241,92882;;;;;
29023,51315;;;;;
29076,24376;;;;;
28719,04136;;;;;
32631,07204;;;;;
31142,46718;;;;;
31169,06797;;;;;
29138,01303;;;;;
29451,05047;;;;;
30423,02903;;;;;
31335,67582;;;;;
29255,03234;;;;;
31785,91893;;;;;
30528,23141;;;;;
30958,01893;;;;;
29781,56223;;;;;
31903,78773;;;;;
27358,62963;;;;;
31089,86301;;;;;
31292,65875;;;;;
30921,87405;;;;;
30191,34986;;;;;
28208,57911;;;;;
27603,4916;;;;;
28414,64485;;;;;
29264,01765;;;;;
32262,21188;;;;;
30609,2276;;;;;
28964,96668;;;;;
31315,463;;;;;
28669,34866;;;;;
31292,23025;;;;;
30635,82793;;;;;
28281,25467;;;;;
28803,72933;;;;;
29442,63113;;;;;
28599,92747;;;;;
29585,38823;;;;;
30308,196;;;;;
28651,42945;;;;;
32590,52322;;;;;
29322,23088;;;;;
26799,98104;;;;;
28517,12776;;;;;
25748,80311;;;;;
29760,87136;;;;;
27548,57473;;;;;
31170,33078;;;;;
30532,02817;;;;;
30692,31735;;;;;
30298,09686;;;;;
28837,28306;;;;;
28314,74838;;;;;
28250,52467;;;;;
27565,24271;;;;;
30993,81707;;;;;
28497,5639;;;;;
28972,88843;;;;;
29950,13603;;;;;
27830,76743;;;;;
29443,32977;;;;;
28141,37969;;;;;
27746,02534;;;;;
29837,66573;;;;;
31918,19686;;;;;
29415,54022;;;;;
30068,30009;;;;;
28817,0569;;;;;
27939,13572;;;;;
26371,30865;;;;;
29103,50048;;;;;
27581,49985;;;;;
28073,62846;;;;;
31113,49854;;;;;
30578,49336;;;;;
29245,03319;;;;;
29815,05154;;;;;
29479,23672;;;;;
30055,12401;;;;;
29615,65924;;;;;
29946,00522;;;;;
30057,8736;;;;;
30692,52882;;;;;
28598,46432;;;;;
27134,26678;;;;;
30281,09222;;;;;
30291,53664;;;;;
28818,47573;;;;;
26866,03752;;;;;
32988,28658;;;;;
31032,98997;;;;;
30646,29645;;;;;
30224,87747;;;;;
30787,18111;;;;;
27148,79166;;;;;
32632,66627;;;;;
30104,18928;;;;;
29327,83558;;;;;
33392,56281;;;;;
30277,9119;;;;;
26491,25559;;;;;
28049,87952;;;;;
26452,3954;;;;;
31047,63543;;;;;
31469,62387;;;;;
32166,64986;;;;;
30342,2766;;;;;
27957,47545;;;;;
30627,94829;;;;;
31220,55076;;;;;
29759,18402;;;;;
27748,97902;;;;;
30682,51476;;;;;
31270,93848;;;;;
27879,11173;;;;;
30544,65768;;;;;
31181,26267;;;;;
28678,00877;;;;;
31163,73271;;;;;
31082,03732;;;;;
30099,9569;;;;;
30486,43937;;;;;
30059,3929;;;;;
28888,11494;;;;;
30324,21377;;;;;
29592,03828;;;;;
29638,45479;;;;;
31378,01757;;;;;
28514,1692;;;;;
26447,32667;;;;;
30431,32441;;;;;
31951,26384;;;;;
28721,07628;;;;;
31832,19257;;;;;
31370,75361;;;;;
32887,0274;;;;;
34151,95786;;;;;
30170,85367;;;;;
29141,88026;;;;;
31673,25193;;;;;
30152,76443;;;;;
29726,03635;;;;;
28444,00236;;;;;
30496,1531;;;;;
28178,85034;;;;;
28766,48208;;;;;
29625,18029;;;;;
30686,17056;;;;;
29594,23768;;;;;
27785,3532;;;;;
30298,08327;;;;;
29657,52433;;;;;
29759,89466;;;;;
